name,website,industry,company_size,headquarters,founded,specialties
Adobe,http://www.adobe.com,Software Development,"10,001+ employees","San Jose, CA",1982,"Software, Creative Cloud, Digital Marketing, Web Experience Management, Digital Media, Creative Suite, Digital Publishing, Photoshop, Online Analytics, Illustrator, Touch Apps, Acrobat, Mobile Apps, Social Marketing, Web Marketing, and Social Measurement"
DonationXchange,http://www.donationx.org,IT Services and IT Consulting,11-50 employees,"Chicago, IL",2008,"Corporate Giving, In-Kind Giving, Employee Giving, E-Z Giving, Customized Solutions, Donation Management, Donation Processing, Volunteering, Disaster Relief, Online Giving, Grants Management, Corporate Social Responsibility, Matching Gifts, and Philanthropy"
Glint Tech Solutions,http://www.glinttechsolutions.com/,IT Services and IT Consulting,11-50 employees,,,
SynergisticIT,https://www.synergisticit.com,IT Services and IT Consulting,201-500 employees,"Fremont, California",2010,"Software Development, IT Recruitment, and IT Upskill"
SynergisticIT,https://www.synergisticit.com,IT Services and IT Consulting,201-500 employees,"Fremont, California",2010,"Software Development, IT Recruitment, and IT Upskill"
SynergisticIT,https://www.synergisticit.com,IT Services and IT Consulting,201-500 employees,"Fremont, California",2010,"Software Development, IT Recruitment, and IT Upskill"
SpaceX,http://www.spacex.com,Aviation and Aerospace Component Manufacturing,"1,001-5,000 employees","Hawthorne, California",2002,"Falcon 9 and Falcon Heavy Rockets, Dragon Cargo and Crew Spacecraft, Merlin Rocket Engines, Draco and SuperDraco Thrusters, PICA-X high performance heat shield material, and Satellite Development"
SynergisticIT,https://www.synergisticit.com,IT Services and IT Consulting,201-500 employees,"Fremont, California",2010,"Software Development, IT Recruitment, and IT Upskill"
CVS Health,http://CVSHealth.com,Hospitals and Health Care,"10,001+ employees","Woonsocket, RI",1963,"Retail, Pharmacy Benefits Management, Health Insurance, Health Care, Pharmacy, Retail, Care Management, and Primary Care"
SpaceX,http://www.spacex.com,Aviation and Aerospace Component Manufacturing,"1,001-5,000 employees","Hawthorne, California",2002,"Falcon 9 and Falcon Heavy Rockets, Dragon Cargo and Crew Spacecraft, Merlin Rocket Engines, Draco and SuperDraco Thrusters, PICA-X high performance heat shield material, and Satellite Development"
Nike,https://jobs.nike.com/,Retail,"10,001+ employees","Beaverton, OR",,"Athletic Shoes, Apparel, Sports Equipment, Digital, Merchandising, Innovation, Technology, and Retail"
Yardi,http://www.yardi.com,Software Development,"5,001-10,000 employees","Santa Barbara, CA",1984,
Mindteck,http://www.mindteck.com,IT Services and IT Consulting,"1,001-5,000 employees","Bangalore, Karnataka",1991,
Long Finch Technologies LLC,http://www.longfinch.com,IT Services and IT Consulting,51-200 employees,"Edison, New Jersey",2010,"IT Recruitment, Technology and PMO Staffing, HealthCare, Pharma, and Insurance"
Mechanics Bank,https://www.mechanicsbank.com,Banking,"1,001-5,000 employees","Walnut Creek, CA",1905,
