title,company,location,workplace,job_type,level,applicants,salary,posted,skills
Desarrollador de back-end Valencia,Conmuta Soluciones S.L,"Paterna, Valencian Community, Spain",Hybrid,Full-time,,100,,5 days ago,"['SQL', 'C#', 'PostgreSQL']"
Full Stack Developer,HERCAL DIGGERS S.L.,"Terrassa, Catalonia, Spain",On-site,Full-time,,100,,5 days ago,"['PHP', 'HTML', 'JavaScript', 'MySQL', 'MariaDB', 'SQL', 'Azure']"
Desarrollador Ruby on Rails,CODILEX,"Gijón, Principality of Asturias, Spain",On-site,Full-time,,8,,21 hours ago,['Ruby']
Programador full stack PHP - Torrelodones,thexpeople,"Madrid, Community of Madrid, Spain",On-site,Full-time,,100,,6 days ago,"['CSS', 'Angular', 'MySQL']"
Desarrollador web,Meteored,"Lorca, Región de Murcia, Spain",On-site,Full-time,,100,,6 days ago,['Kubernetes']
Data Engineer on GCP,W3Global,"Madrid, Community of Madrid, Spain",On-site,Full-time,Entry level,13 people clicked apply,,4 days ago,"['GCP', 'BigQuery', 'Spark', 'Hadoop', 'SQL']"
Backend Engineer (APIs / Python),Restb.ai,"Barcelona, Catalonia, Spain",Hybrid,Full-time,,76 people clicked apply,,5 days ago,['Flask']
Desarrollador/a .net React and Sharepoint Spfx,Avanade,"Málaga, Andalusia, Spain",,Full-time,Entry level,16 people clicked apply,,6 days ago,['React']
DevOps Engineer con experiencia en Azure y Kubernetes,Mediacore Solutions,"Granada, Andalusia, Spain",Hybrid,Full-time,,10,,6 hours ago,"['Azure', 'Kubernetes']"
Software Developer in Test,Sysdig,"Zaragoza, Aragon, Spain",Hybrid,Full-time,Entry level,27,,5 days ago,"['Java', 'Python', 'Kubernetes']"
Identity and Security Infrastructure Engineer - Cloud security engineering (ODS),Openbank,"Madrid, Community of Madrid, Spain",On-site,Full-time,Entry level,5 people clicked apply,,Reposted 2 days ago,['AWS']
Data Engineer,Factorial,"Barcelona, Catalonia, Spain",On-site,Full-time,Entry level,100 people clicked apply,,Reposted 5 days ago,"['SQL', 'Python', 'MySQL', 'PostgreSQL']"
Full Stack Software Engineer - Internship,bsport,"Barcelona, Catalonia, Spain",On-site,Internship,,100 people clicked apply,,Reposted 1 day ago,"['React', 'Redis', 'Docker', 'Kubernetes', 'AWS', 'JavaScript', 'Python']"
PL/SQL Developer,KBC Technologies Group,"Málaga, Andalusia, Spain",On-site,Contract,Entry level,20,,1 day ago,"['Kafka', 'Angular']"
DevOps Engineer,Clarivate,"Barcelona, Catalonia, Spain",Hybrid,Full-time,Entry level,7 people clicked apply,,2 days ago,"['Docker', 'MySQL', 'PostgreSQL', 'Jenkins', 'SQL', 'Kubernetes', 'Python', 'AWS']"
DevOps Engineer-ES-Madrid,Globant,"Madrid, Community of Madrid, Spain",On-site,Full-time,Entry level,60 people clicked apply,,Reposted 1 day ago,['AWS']
2025 Software Development Engineer Intern - Embedded Development,Amazon,"Madrid, Community of Madrid, Spain",,Internship,,82 people clicked apply,,5 days ago,"['Python', 'Java', 'Perl', 'AWS', 'C++', 'PyTorch']"
SOFTWARE COMPONENT ENGINEER,Hitachi Rail,"Madrid, Community of Madrid, Spain",,Full-time,Entry level,44 people clicked apply,,Reposted 3 hours ago,"['C++', 'SQL', 'T-SQL']"
Full Stack developer React y NodeJS,Inetum,"Zamudio, Basque Country, Spain",Hybrid,Full-time,Entry level,96 people clicked apply,,Reposted 5 days ago,"['HTML', 'CSS', 'SQL']"
React Software Engineer,GMV,"Valladolid, Castilla and Leon, Spain",Hybrid,Full-time,Entry level,37,,Reposted 2 days ago,"['HTML', 'CSS', 'JavaScript', 'React']"
Desarrollador Software | CAF Digital Services,CAF (Construcciones y Auxiliar de Ferrocarriles),"San Sebastián, Basque Country, Spain",Hybrid,Full-time,Entry level,100 people clicked apply,,Reposted 3 days ago,"['Java', 'Angular']"
DevOps & Security Specialist - M/H/NB,Cegid,"Manresa, Catalonia, Spain",On-site,Full-time,Entry level,41 people clicked apply,,Reposted 2 hours ago,"['Azure', 'SQL', 'Kubernetes']"
Salesforce Junior Developer,VISEO IBERIA,"Madrid, Community of Madrid, Spain",On-site,Full-time,Entry level,93,,Reposted 4 days ago,"['JavaScript', 'Jenkins']"
Devops and software Infrastructure Engineer (Ansible),GMV,"Tres Cantos, Community of Madrid, Spain",Hybrid,Full-time,Entry level,19,,Reposted 2 days ago,"['Python', 'Jenkins', 'Git']"
Software Engineer - Fabric RPC,Datadog,"Madrid, Community of Madrid, Spain",,Full-time,Entry level,39 people clicked apply,,Reposted 2 days ago,"['Kubernetes', 'Golang']"
Associate Application Security Engineer,Pleo,"Madrid, Community of Madrid, Spain",Remote,Internship,,7 people clicked apply,,1 day ago,"['Kotlin', 'TypeScript', 'Java', 'AWS', 'Azure', 'GCP']"
Programador/a especialista en Digitalización y ERP - SEVILLA,Michael Page,"Seville, Andalusia, Spain",On-site,Full-time,Entry level,27 people clicked apply,,5 days ago,['JavaScript']
DevOps (AWS) Engineer / Spain-based / Remote,Cognizant,"Navalcarnero, Community of Madrid, Spain",Hybrid,Full-time,Entry level,11 people clicked apply,,1 day ago,"['AWS', 'Azure', 'PowerShell', 'Python', 'Golang', 'Kubernetes']"
CiS.Desarrollador Node/Typescript H/M,Inetum,"Barcelona, Catalonia, Spain",On-site,Full-time,Entry level,100 people clicked apply,,Reposted 4 days ago,"['TypeScript', 'AWS']"
Front-End Developer (W/M),MCA España,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,Entry level,100 people clicked apply,,Reposted 5 days ago,"['React', 'Sass']"
Data Engineer,Globant,"Madrid, Community of Madrid, Spain",Remote,Full-time,Entry level,100 people clicked apply,,Reposted 1 day ago,"['Java', 'Python', 'Azure']"
"Software Engineer - Spain, Czechia Remote",Vista,"Barcelona, Catalonia, Spain",Remote,Full-time,Entry level,91 people clicked apply,,Reposted 4 days ago,"['C#', 'React', 'AWS']"
Software Engineer - Intern,Datadog,"Madrid, Community of Madrid, Spain",,Internship,,100 people clicked apply,,Reposted 6 days ago,['Kubernetes']
Ruby - Elixir Backend Engineer,E-Frontiers,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,Entry level,12,,18 hours ago,"['Elixir', 'AWS', 'Python', 'Erlang', 'Go', 'HTML', 'CSS']"
Big Data Developer - SCIB Málaga,Santander Corporate & Investment Banking,"Málaga, Andalusia, Spain",On-site,Full-time,Entry level,20 people clicked apply,,6 days ago,"['Spark', 'Scala', 'Hadoop', 'Azure', 'Jenkins', 'SQL']"
Data Engineer - Negocio,Huxley,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,Entry level,31 people clicked apply,,2 days ago,"['Python', 'PySpark', 'AWS', 'SQL', 'PostgreSQL']"
#DISCOVER I 2025-2026 Internship as Method Engineer,Airbus Aircraft,Greater Algeciras Metropolitan Area,Hybrid,Internship,,34 people clicked apply,,Reposted 6 days ago,"['Python', 'Pandas', 'PyTorch']"
Full stack software Developer Intern,Roche,"Sant Cugat del Vallès, Catalonia, Spain",,Full-time,Entry level,100 people clicked apply,,Reposted 2 hours ago,['Go']
Software Engineer,Caroda,"Málaga, Andalusia, Spain",Hybrid,Full-time,,100,,Reposted 1 month ago,"['Docker', 'Kubernetes', 'Azure', 'AWS', 'React', 'Rust']"
DevOps Engineer (f/m/d) L3 Support,NOVOLOS 01,Spain,Remote,Full-time,Mid-Senior level,100,,1 week ago,"['Azure', 'SQLite']"
Ingeniero/a junior de Software embebido,Zennio,"Toledo, Castile-La Mancha, Spain",On-site,Full-time,Associate,100 people clicked apply,,Reposted 2 weeks ago,['C']
Desarrollador de front-end REACT,EXCELIA,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,Associate,100,,Reposted 2 weeks ago,"['React', 'Kubernetes']"
